DATE	LAUCN310010000000003A	LAUCN310030000000003A	LAUCN310050000000003A	LAUCN310070000000003A	LAUCN310090000000003A	LAUCN310110000000003A	LAUCN310130000000003A	LAUCN310150000000003A	LAUCN310170000000003A	LAUCN310190000000003A	LAUCN310210000000003A	LAUCN310230000000003A	LAUCN310250000000003A	LAUCN310270000000003A	LAUCN310290000000003A	LAUCN310310000000003A	LAUCN310330000000003A	LAUCN310350000000003A	LAUCN310370000000003A	LAUCN310390000000003A	LAUCN310410000000003A	LAUCN310430000000003A	LAUCN310450000000003A	LAUCN310470000000003A	LAUCN310490000000003A	LAUCN310510000000003A	LAUCN310530000000003A	LAUCN310550000000003A	LAUCN310570000000003A	LAUCN310590000000003A	LAUCN310610000000003A	LAUCN310630000000003A	LAUCN310650000000003A	LAUCN310670000000003A	LAUCN310690000000003A	LAUCN310710000000003A	LAUCN310730000000003A	LAUCN310750000000003A	LAUCN310770000000003A	LAUCN310790000000003A	LAUCN310810000000003A	LAUCN310830000000003A	LAUCN310850000000003A	LAUCN310870000000003A	LAUCN310890000000003A	LAUCN310910000000003A	LAUCN310930000000003A	LAUCN310950000000003A	LAUCN310970000000003A	LAUCN310990000000003A	LAUCN311010000000003A	LAUCN311030000000003A	LAUCN311050000000003A	LAUCN311070000000003A	LAUCN311090000000003A	LAUCN311110000000003A	LAUCN311130000000003A	LAUCN311150000000003A	LAUCN311170000000003A	LAUCN311190000000003A	LAUCN311210000000003A	LAUCN311230000000003A	LAUCN311250000000003A	LAUCN311270000000003A	LAUCN311290000000003A	LAUCN311310000000003A	LAUCN311330000000003A	LAUCN311350000000003A	LAUCN311370000000003A	LAUCN311390000000003A	LAUCN311410000000003A	LAUCN311430000000003A	LAUCN311450000000003A	LAUCN311470000000003A	LAUCN311490000000003A	LAUCN311510000000003A	LAUCN311530000000003A	LAUCN311550000000003A	LAUCN311570000000003A	LAUCN311590000000003A	LAUCN311610000000003A	LAUCN311630000000003A	LAUCN311650000000003A	LAUCN311670000000003A	LAUCN311690000000003A	LAUCN311710000000003A	LAUCN311730000000003A	LAUCN311750000000003A	LAUCN311770000000003A	LAUCN311790000000003A	LAUCN311810000000003A	LAUCN311830000000003A	LAUCN311850000000003A
2000-01-01	2.6	2.8	2.2	3.0	3.4	2.5	3.9	2.9	3.3	2.3	3.7	2.8	2.8	2.5	2.4	2.6	2.3	2.9	2.1	2.3	2.6	3.2	3.0	3.1	3.0	2.6	3.1	3.0	2.2	2.6	2.7	2.5	2.8	3.0	2.6	2.6	2.6	2.3	2.9	3.0	2.4	2.6	3.4	2.7	2.6	3.3	2.6	3.2	6.2	2.1	2.7	2.4	2.5	3.8	2.4	3.2	2.4	2.4	1.8	3.3	2.7	3.5	3.0	4.0	2.6	3.1	3.5	2.2	2.2	2.6	2.8	2.3	2.6	5.0	2.8	2.6	2.3	2.8	4.0	2.4	2.9	2.8	1.9	2.6	2.6	5.0	7.0	2.7	2.4	2.6	2.8	2.4	2.5
2001-01-01	3.1	3.1	3.3	2.1	2.5	3.1	4.4	3.5	3.4	2.4	3.8	3.3	3.2	2.5	2.5	2.2	2.5	3.2	2.5	2.3	2.4	3.1	2.9	3.6	2.7	2.5	3.8	3.5	2.4	3.0	3.0	2.3	2.7	3.1	3.3	2.7	3.0	2.6	3.0	3.3	2.5	2.7	2.8	3.6	3.1	3.4	3.0	4.5	3.0	2.4	2.9	2.5	2.5	3.7	2.7	3.2	2.5	2.9	1.7	3.6	2.9	3.2	3.5	3.5	2.9	3.4	3.4	2.2	2.6	3.0	3.5	2.7	2.6	4.7	3.1	2.9	2.6	3.2	4.1	2.8	2.7	2.7	2.0	2.7	3.3	5.4	6.1	3.1	2.8	2.7	2.8	2.3	2.7
2002-01-01	3.6	3.1	4.5	2.8	3.5	3.0	4.7	3.5	3.5	2.5	4.8	4.0	3.6	2.6	2.5	2.8	3.2	3.7	2.9	2.6	2.6	4.3	2.9	3.9	2.6	3.0	4.4	4.3	3.7	3.5	3.5	2.4	3.2	3.7	3.4	2.9	3.0	2.7	3.5	3.9	3.0	3.0	3.1	3.2	2.9	3.4	3.6	4.5	2.9	2.7	3.2	3.8	2.6	3.4	3.2	3.3	2.5	3.6	1.6	3.9	3.7	4.1	4.4	4.3	3.0	3.8	3.7	2.5	2.9	3.6	4.3	3.2	3.0	5.8	2.7	3.0	3.1	3.6	4.4	3.0	2.7	2.9	2.5	3.1	3.4	4.1	7.0	2.8	2.9	2.8	3.5	2.2	3.0
2003-01-01	4.1	3.3	5.2	2.5	3.4	3.2	4.7	3.0	3.9	2.8	5.1	4.3	4.0	3.1	2.7	2.7	3.3	3.8	3.1	2.7	2.9	4.7	3.3	4.1	3.0	3.6	4.7	4.6	3.2	3.7	3.2	2.8	3.4	4.2	3.8	3.5	3.3	2.8	3.5	4.4	3.7	3.2	3.7	3.9	3.1	3.3	4.2	4.3	3.0	2.7	3.4	3.3	2.8	3.5	3.6	3.5	2.8	3.9	2.9	4.0	4.1	3.9	5.2	4.3	3.1	4.0	4.1	2.6	3.0	3.5	4.7	3.6	3.4	5.7	3.8	3.3	3.2	3.8	5.0	3.2	2.6	3.2	3.0	3.2	3.1	4.3	7.5	3.4	3.1	2.9	3.6	2.8	3.3
2004-01-01	3.8	3.3	4.2	3.4	3.5	3.2	4.0	3.2	3.3	2.9	5.2	4.1	4.1	2.9	2.9	2.4	3.1	3.5	3.1	2.9	3.1	4.4	3.2	4.2	3.0	3.5	4.6	4.5	3.7	3.6	3.3	2.9	3.4	4.4	3.7	3.3	3.8	2.6	3.8	4.8	3.1	3.2	3.8	3.9	3.0	3.3	4.1	4.2	3.5	2.9	3.3	3.2	2.9	3.5	3.5	3.5	3.0	4.0	1.7	3.9	4.1	3.3	4.5	4.5	3.2	4.1	3.7	2.5	3.3	3.3	4.3	3.5	3.5	4.9	3.3	3.3	3.3	3.6	4.3	3.0	2.9	3.5	2.6	3.1	3.2	3.1	7.8	3.3	3.2	3.0	4.1	2.7	3.2
2005-01-01	3.4	3.4	3.9	2.8	3.9	3.4	4.0	3.6	3.2	2.8	4.9	3.6	4.1	2.7	2.8	2.4	2.9	3.7	2.8	3.0	2.9	4.7	3.2	4.4	3.1	3.9	4.4	4.5	4.1	3.2	3.4	2.5	3.7	4.4	2.9	3.0	3.5	2.6	3.6	3.8	2.7	3.2	3.5	3.7	3.1	3.3	3.6	3.8	3.6	2.8	3.2	3.4	2.9	3.4	3.5	3.5	2.5	4.4	2.1	4.0	3.7	3.1	3.8	4.5	3.3	4.0	3.6	2.5	2.8	3.5	3.7	3.2	3.5	4.5	3.0	3.3	3.4	3.9	4.2	3.2	2.7	3.8	2.8	3.1	3.0	3.6	7.8	3.5	3.3	3.0	3.6	2.8	2.8
2006-01-01	2.9	2.8	3.5	2.4	3.0	2.6	3.1	3.2	2.9	2.3	4.1	2.7	3.4	2.3	2.4	2.2	2.4	3.0	2.3	3.1	2.4	4.1	2.9	3.2	2.7	3.1	3.5	3.5	3.2	2.7	3.1	2.2	3.0	3.8	3.0	2.6	2.9	2.2	3.0	3.1	2.3	2.6	3.2	3.5	2.7	2.8	2.9	3.2	3.1	2.3	2.6	3.0	2.7	3.0	2.8	2.8	2.2	3.7	2.1	3.7	3.6	2.6	2.9	4.1	2.7	3.3	3.1	2.2	2.3	2.9	2.8	2.8	2.7	4.1	2.3	2.7	2.9	3.1	3.3	2.7	2.7	2.8	2.8	3.1	2.6	3.3	6.9	2.5	2.9	2.5	2.6	2.4	2.5
2007-01-01	2.7	2.8	3.8	2.0	3.8	2.4	3.2	3.0	2.6	2.2	4.0	2.5	3.3	2.4	2.5	2.2	2.4	2.8	2.2	2.7	2.1	4.0	2.7	3.0	2.9	3.1	3.2	3.4	2.6	2.5	2.8	2.3	3.0	3.6	2.7	2.5	3.2	2.6	2.7	2.8	2.2	2.6	3.5	2.7	2.6	2.8	2.8	2.7	2.9	2.2	2.5	3.7	2.8	2.9	2.8	2.6	2.8	4.2	2.0	3.2	2.9	2.6	2.5	3.8	2.6	3.0	3.0	2.4	2.3	3.0	2.4	2.8	2.5	4.1	2.6	2.7	2.9	3.1	3.0	2.7	2.7	2.7	2.8	3.0	2.7	3.7	6.5	2.4	2.8	2.5	3.3	2.9	2.7
2008-01-01	3.1	3.0	3.7	2.5	4.9	2.6	3.7	3.2	2.7	2.5	4.2	2.9	3.7	2.5	2.7	2.4	2.8	3.2	2.6	2.9	2.4	4.2	2.9	4.0	2.9	3.2	3.5	3.7	2.9	3.0	3.0	2.8	2.9	4.7	3.0	2.6	3.2	2.9	2.9	3.1	2.4	3.1	3.8	3.4	2.7	4.3	3.1	3.9	3.2	2.7	2.9	4.8	3.4	3.2	3.1	3.0	2.2	3.8	2.3	3.3	3.1	3.1	3.0	4.6	2.9	3.5	3.4	2.4	2.4	3.0	3.0	2.8	2.9	4.4	2.8	3.4	3.2	3.6	3.7	3.2	2.7	2.7	3.4	2.8	3.2	4.0	6.7	2.8	3.1	2.9	3.4	2.3	3.7
2009-01-01	5.1	3.7	5.8	3.4	5.4	3.4	6.6	3.9	3.1	3.6	5.6	4.2	5.2	3.6	2.9	2.6	4.4	4.4	3.7	3.8	3.3	6.0	4.4	4.6	3.9	4.7	5.0	5.2	3.9	4.1	3.9	3.1	3.7	6.2	4.3	2.9	3.9	3.5	3.5	4.2	3.3	3.7	4.1	5.5	3.1	5.1	3.7	4.8	4.2	3.9	4.5	4.8	4.8	3.6	4.3	4.0	3.1	5.1	3.8	4.3	4.2	4.2	3.3	5.2	4.5	5.0	3.7	3.0	3.5	4.0	4.1	3.7	4.5	6.0	3.0	4.6	4.6	5.0	5.1	4.1	3.9	3.2	3.4	4.1	4.3	4.5	10.5	3.3	4.6	3.9	3.9	3.7	4.9
2010-01-01	4.7	3.6	8.0	4.4	5.0	3.5	5.0	3.9	4.7	3.6	5.9	3.9	5.6	3.6	2.8	3.0	3.6	4.3	3.9	3.7	3.7	7.3	4.0	4.9	3.9	4.8	5.3	5.1	3.1	3.7	4.3	3.8	3.4	5.8	4.1	3.1	3.6	3.8	3.6	4.6	3.8	3.2	3.4	5.1	3.6	5.1	4.4	4.7	4.7	3.5	4.3	3.5	4.7	4.1	4.2	4.5	4.5	5.7	2.8	4.2	4.5	4.1	3.9	5.3	4.1	5.0	4.0	3.3	3.6	3.7	4.2	4.0	3.7	6.2	2.8	4.7	4.4	4.8	5.5	4.0	3.5	4.0	3.7	4.1	3.8	4.8	9.6	4.4	4.6	3.8	4.8	3.9	4.6
2011-01-01	4.3	3.6	6.1	4.6	5.4	3.7	4.2	3.8	4.6	3.5	5.7	3.8	5.2	3.3	2.4	3.0	3.0	4.1	3.9	3.4	3.4	5.9	3.9	5.0	3.5	4.6	4.9	4.9	2.9	3.5	4.2	3.6	3.7	5.8	3.6	3.4	3.5	3.3	3.9	4.5	3.8	3.3	3.1	4.9	3.4	4.7	4.1	4.3	4.8	3.2	4.1	3.0	3.6	3.9	4.0	4.4	3.5	4.8	2.5	4.1	4.3	3.4	3.7	5.0	3.6	5.1	3.8	2.9	3.7	3.5	4.2	3.4	3.5	6.0	2.7	4.7	4.2	4.6	5.0	3.8	3.6	4.3	3.4	3.7	3.3	5.2	10.2	4.0	4.4	3.5	4.6	3.2	4.3
2012-01-01	3.8	3.3	6.5	4.6	5.3	3.1	4.0	3.9	4.1	3.3	4.7	3.3	4.6	2.9	2.4	2.9	2.8	3.7	3.5	3.1	2.9	5.8	3.6	4.4	3.3	4.1	4.5	4.5	3.0	3.3	3.6	3.2	3.5	5.0	3.2	3.0	3.0	3.4	3.6	4.0	3.3	3.2	3.0	4.1	3.2	4.6	3.6	3.8	4.3	2.9	3.7	3.1	3.3	3.4	3.6	3.9	3.2	3.8	3.6	3.7	3.7	3.2	3.3	4.8	3.5	4.5	3.3	2.7	3.0	3.3	3.7	3.1	3.3	5.1	2.5	4.3	3.9	4.2	4.7	3.5	3.6	3.8	3.6	3.5	3.1	4.0	8.7	3.5	3.8	3.2	3.7	3.4	3.7
2013-01-01	3.7	3.2	7.7	4.6	5.5	3.3	3.9	3.5	4.0	3.3	4.6	3.4	4.4	3.0	2.4	2.8	2.9	3.5	3.5	3.1	2.8	4.7	3.6	3.8	3.4	3.8	4.2	4.2	2.8	3.0	3.5	3.4	3.5	4.6	2.8	3.1	3.5	3.3	3.5	3.7	3.2	3.1	3.4	4.1	3.2	4.8	3.7	3.7	4.4	2.8	3.6	3.3	3.3	3.6	3.5	3.8	3.4	4.5	3.8	3.5	3.7	3.2	3.2	5.0	3.3	4.3	3.1	2.6	3.0	3.4	3.5	3.4	3.0	4.5	3.2	4.3	3.6	4.1	4.2	3.7	3.3	3.3	3.4	3.4	2.8	4.0	7.7	3.3	3.7	3.2	3.9	3.4	3.6
2014-01-01	3.4	2.7	5.4	3.7	4.4	2.6	3.1	3.3	3.5	2.8	3.9	3.0	3.7	2.3	2.0	2.5	2.2	3.3	3.0	2.6	2.4	3.7	3.0	3.5	2.8	3.1	3.7	3.6	2.3	2.4	3.2	2.8	2.9	4.2	2.9	2.6	3.0	2.3	3.2	3.9	3.0	2.6	2.9	3.4	2.7	4.3	3.7	3.1	3.8	2.5	2.9	2.7	2.5	3.1	3.0	3.3	3.2	3.9	2.3	3.0	3.8	3.0	2.7	3.9	2.8	3.7	2.8	2.1	2.6	2.9	3.0	3.2	2.6	3.6	2.6	3.5	3.1	3.5	3.6	3.1	2.6	3.4	2.5	2.8	2.6	3.5	6.1	3.0	3.2	2.8	3.4	2.9	3.2
2015-01-01	3.2	2.6	4.9	3.4	4.5	2.5	3.1	2.7	3.7	2.5	3.7	2.8	3.4	2.4	1.9	2.3	2.2	3.0	2.6	2.7	2.3	3.6	2.6	3.2	2.5	3.3	3.3	3.4	2.1	3.0	2.4	2.5	2.7	3.7	2.4	2.4	2.5	2.3	3.1	4.0	2.9	2.2	2.3	3.3	2.4	4.2	3.7	2.7	3.3	2.2	2.7	2.1	3.6	3.2	2.7	2.9	3.0	3.7	2.0	2.8	3.8	2.9	2.5	3.7	2.6	3.3	2.6	1.9	2.4	2.6	3.0	2.6	2.7	3.3	2.7	3.0	2.8	3.1	3.4	2.9	2.7	2.9	2.5	2.6	2.4	3.0	5.4	2.8	3.0	2.6	3.6	2.5	2.9
2016-01-01	3.3	2.7	6.2	3.8	4.5	2.8	3.8	3.2	3.9	2.6	3.8	3.3	3.5	2.7	2.2	2.4	3.0	3.3	3.0	3.0	2.5	4.3	3.1	3.1	2.8	3.5	3.2	3.5	2.3	2.9	3.1	3.0	2.9	3.5	3.4	2.8	2.7	2.4	3.3	3.8	2.9	2.6	2.5	3.8	2.6	3.8	3.5	2.5	3.3	2.5	3.1	2.1	4.3	3.2	2.9	3.2	2.9	3.6	2.4	2.9	3.8	3.4	2.8	3.8	3.1	3.5	2.4	2.3	2.6	2.8	3.7	2.8	3.0	3.4	2.7	3.2	3.0	3.2	3.6	3.0	3.0	3.3	2.8	2.7	2.6	3.4	5.0	3.0	3.3	2.8	3.3	2.3	2.8
