DATE	LAUCN290010000000003A	LAUCN290030000000003A	LAUCN290050000000003A	LAUCN290070000000003A	LAUCN290090000000003A	LAUCN290110000000003A	LAUCN290130000000003A	LAUCN290150000000003A	LAUCN290170000000003A	LAUCN290190000000003A	LAUCN290210000000003A	LAUCN290230000000003A	LAUCN290250000000003A	LAUCN290270000000003A	LAUCN290290000000003A	LAUCN290310000000003A	LAUCN290330000000003A	LAUCN290350000000003A	LAUCN290370000000003A	LAUCN290390000000003A	LAUCN290410000000003A	LAUCN290430000000003A	LAUCN290450000000003A	LAUCN290470000000003A	LAUCN290490000000003A	LAUCN290510000000003A	LAUCN290530000000003A	LAUCN290550000000003A	LAUCN290570000000003A	LAUCN290590000000003A	LAUCN290610000000003A	LAUCN290630000000003A	LAUCN290650000000003A	LAUCN290670000000003A	LAUCN290690000000003A	LAUCN290710000000003A	LAUCN290730000000003A	LAUCN290750000000003A	LAUCN290770000000003A	LAUCN290790000000003A	LAUCN290810000000003A	LAUCN290830000000003A	LAUCN290850000000003A	LAUCN290870000000003A	LAUCN290890000000003A	LAUCN290910000000003A	LAUCN290930000000003A	LAUCN290950000000003A	LAUCN290970000000003A	LAUCN290990000000003A	LAUCN291010000000003A	LAUCN291030000000003A	LAUCN291050000000003A	LAUCN291070000000003A	LAUCN291090000000003A	LAUCN291110000000003A	LAUCN291130000000003A	LAUCN291150000000003A	LAUCN291170000000003A	LAUCN291190000000003A	LAUCN291210000000003A	LAUCN291230000000003A	LAUCN291250000000003A	LAUCN291270000000003A	LAUCN291290000000003A	LAUCN291310000000003A	LAUCN291330000000003A	LAUCN291350000000003A	LAUCN291370000000003A	LAUCN291390000000003A	LAUCN291410000000003A	LAUCN291430000000003A	LAUCN291450000000003A	LAUCN291470000000003A	LAUCN291490000000003A	LAUCN291510000000003A	LAUCN291530000000003A	LAUCN291550000000003A	LAUCN291570000000003A	LAUCN291590000000003A	LAUCN291610000000003A	LAUCN291630000000003A	LAUCN291650000000003A	LAUCN291670000000003A	LAUCN291690000000003A	LAUCN291710000000003A	LAUCN291730000000003A	LAUCN291750000000003A	LAUCN291770000000003A	LAUCN291790000000003A	LAUCN291810000000003A	LAUCN291830000000003A	LAUCN291850000000003A	LAUCN291860000000003A	LAUCN291870000000003A	LAUCN291890000000003A	LAUCN291950000000003A	LAUCN291970000000003A	LAUCN291990000000003A	LAUCN292010000000003A	LAUCN292030000000003A	LAUCN292050000000003A	LAUCN292070000000003A	LAUCN292090000000003A	LAUCN292110000000003A	LAUCN292130000000003A	LAUCN292150000000003A	LAUCN292170000000003A	LAUCN292190000000003A	LAUCN292210000000003A	LAUCN292230000000003A	LAUCN292250000000003A	LAUCN292270000000003A	LAUCN292290000000003A	LAUCN295100000000003A
2000-01-01	3.1	3.2	2.7	3.2	3.5	2.8	3.8	5.5	4.4	2.3	3.7	4.9	3.5	3.0	4.3	3.1	3.4	5.8	2.9	3.8	3.8	3.0	3.8	2.6	3.1	2.7	3.4	4.6	3.6	4.7	3.3	4.1	5.0	4.7	4.7	3.8	3.6	3.3	3.0	3.3	3.2	3.7	6.3	3.2	3.2	3.9	5.8	3.7	3.5	3.4	3.3	3.7	3.8	3.4	3.3	3.5	3.5	5.3	2.9	3.7	4.4	5.1	3.8	4.0	3.0	4.5	5.4	3.2	3.9	3.6	4.3	5.0	4.0	2.4	4.1	4.0	4.4	5.8	2.7	3.5	3.6	3.7	2.4	3.2	5.1	3.5	3.7	4.0	3.8	7.4	5.2	2.6	4.1	3.4	5.8	3.1	3.0	4.5	3.0	4.5	5.6	4.8	4.4	6.4	3.2	6.9	5.2	3.0	3.5	6.2	5.6	3.6	3.8	4.7	5.7
2001-01-01	4.3	4.4	3.4	4.3	4.4	3.8	4.8	6.4	5.9	3.0	5.1	5.6	4.5	3.9	5.2	3.9	4.5	6.5	3.8	5.0	5.5	4.1	6.1	3.4	3.9	3.5	4.8	5.3	4.2	5.3	4.3	4.9	6.8	7.2	6.3	4.9	4.9	4.1	3.8	4.3	3.6	5.3	6.9	4.2	4.2	4.5	6.7	4.9	4.4	4.5	4.1	4.4	5.7	4.2	4.4	4.7	4.6	6.6	3.9	4.3	7.2	6.2	5.0	5.0	3.5	5.6	7.8	4.4	5.3	4.9	6.0	6.5	5.1	3.0	4.8	4.9	5.5	7.4	3.8	5.6	4.2	4.9	3.2	4.5	5.7	4.0	4.7	5.2	4.2	7.8	6.2	3.5	5.3	4.6	6.3	4.1	4.9	5.6	3.8	5.5	6.5	5.5	5.8	7.8	4.2	8.4	5.9	3.8	4.8	7.2	7.3	4.7	3.6	6.4	6.9
2002-01-01	4.4	4.9	3.9	5.5	4.8	4.4	5.9	6.6	6.4	3.5	5.8	5.5	5.4	4.5	5.8	4.2	5.4	6.7	4.6	6.0	6.3	4.8	6.4	4.3	5.2	3.9	4.7	5.9	4.9	5.9	4.9	6.1	6.3	8.6	7.0	5.5	5.7	5.0	4.5	5.2	5.0	5.8	7.0	4.6	4.5	5.0	8.1	6.1	5.3	5.2	4.6	4.5	5.8	5.1	4.9	5.0	5.4	7.1	4.4	5.1	5.6	7.1	5.4	5.4	4.9	6.5	7.7	5.1	5.6	5.3	6.7	8.0	5.9	3.5	5.5	5.3	6.2	8.5	4.1	6.0	4.3	5.2	4.3	5.1	5.4	4.7	5.3	5.3	4.9	8.2	6.4	4.2	6.0	5.2	6.9	4.9	5.8	5.7	4.5	5.6	6.8	5.5	6.1	8.6	5.1	9.1	6.5	5.1	5.3	8.5	7.8	5.6	4.4	6.8	8.1
2003-01-01	4.9	5.0	4.0	6.1	5.0	4.9	6.2	6.6	5.9	3.5	5.8	5.7	5.8	4.6	5.7	4.2	5.5	6.6	5.2	6.6	5.8	4.9	7.2	4.7	5.4	3.9	4.7	6.5	4.8	6.0	5.5	6.2	6.4	7.3	7.5	5.7	6.2	4.5	4.5	6.1	5.2	7.3	8.2	5.4	4.2	5.4	7.5	6.5	5.3	5.3	4.7	4.5	8.3	5.3	4.9	5.6	5.7	7.4	5.2	4.9	5.2	6.4	5.0	5.7	5.8	6.0	7.3	4.5	5.9	6.1	6.2	9.7	6.0	3.5	5.5	5.0	5.9	9.8	4.0	5.8	4.4	5.3	4.4	5.3	5.4	5.9	5.9	5.4	5.6	8.6	6.6	4.4	7.0	5.2	6.7	5.3	5.3	6.3	4.4	5.7	7.7	5.6	6.1	8.3	10.2	8.8	7.2	4.9	5.7	8.3	7.6	4.9	3.9	6.3	8.6
2004-01-01	5.0	5.2	4.6	5.8	5.2	5.1	7.2	6.4	6.0	3.9	6.2	5.5	6.0	4.8	5.7	4.6	5.6	6.7	5.7	6.3	5.8	4.7	6.8	5.0	5.9	4.0	5.1	6.5	5.3	6.0	5.2	6.2	6.7	6.0	7.4	6.0	6.2	4.6	4.7	5.7	5.2	6.9	8.6	5.0	4.8	5.3	8.4	7.0	5.3	5.8	5.0	4.2	7.4	5.8	4.9	5.0	5.9	7.4	5.2	5.1	5.4	6.4	5.1	5.6	5.2	6.4	7.5	4.8	6.0	6.3	6.5	8.3	5.5	3.8	5.6	4.6	6.1	8.8	4.1	5.9	4.6	5.5	4.7	5.4	5.8	4.9	6.0	5.5	6.4	8.2	6.3	4.6	6.6	5.7	7.1	5.6	5.2	6.2	4.1	6.1	8.5	5.8	6.0	8.5	6.6	9.1	7.0	5.4	5.6	8.8	7.3	5.1	4.4	6.7	9.0
2005-01-01	4.2	5.2	4.7	5.2	5.0	5.0	6.4	6.1	6.2	3.6	5.8	5.2	6.0	4.7	5.1	4.5	5.4	6.2	5.1	5.9	5.5	4.3	5.9	4.6	5.4	4.1	4.7	6.0	5.5	5.4	4.9	5.9	6.3	6.1	7.2	5.8	5.6	4.4	4.2	5.2	5.3	6.1	7.8	4.5	4.5	4.7	7.0	6.4	4.8	5.4	4.6	3.9	5.5	5.5	4.6	4.5	5.5	8.0	4.8	4.3	4.9	6.3	4.7	5.2	4.3	5.7	7.2	5.1	5.5	5.7	6.4	6.8	5.0	3.7	5.3	4.7	5.4	7.6	4.0	5.5	4.5	5.3	4.5	4.9	5.3	4.7	5.5	5.1	5.4	7.8	6.0	4.2	5.9	5.3	6.6	5.2	4.9	5.9	3.9	5.7	7.3	5.2	5.8	8.0	5.6	8.7	6.4	4.8	5.4	8.7	6.7	4.7	4.0	6.3	8.1
2006-01-01	4.3	4.1	3.9	4.4	4.1	5.2	5.7	5.5	5.5	3.3	4.6	5.3	5.3	4.4	4.7	4.1	4.6	5.9	4.6	5.1	5.0	3.8	5.0	4.3	4.9	3.8	4.3	5.8	4.7	5.1	4.4	5.4	5.9	5.3	7.0	5.3	5.4	4.0	3.8	4.6	4.6	5.1	6.9	4.0	4.4	4.2	5.4	5.7	4.3	4.9	4.0	3.9	4.7	4.8	3.9	3.7	5.3	6.5	4.3	3.9	4.8	5.3	4.5	4.9	4.3	5.2	6.4	4.6	5.4	5.4	6.6	6.4	4.5	3.4	4.9	4.6	4.7	6.6	3.5	5.1	4.3	5.1	4.0	4.4	4.8	4.9	4.9	4.9	5.2	6.8	5.7	3.9	5.6	4.6	5.9	4.7	4.5	5.2	4.3	5.3	6.5	5.2	5.6	6.7	5.5	6.9	5.4	4.4	5.3	8.0	6.3	4.2	3.9	5.1	6.9
2007-01-01	4.8	3.9	4.4	4.9	4.9	8.7	6.1	5.9	5.4	3.7	4.5	6.6	5.5	4.4	4.9	4.3	5.1	6.3	5.0	5.7	5.6	3.9	5.5	4.3	5.2	3.9	4.5	7.0	5.3	5.3	4.5	5.2	6.7	5.9	8.0	5.6	5.5	4.1	4.0	4.8	4.6	5.6	7.5	5.0	4.5	4.7	5.3	5.9	4.5	5.2	4.6	3.8	5.6	5.2	4.0	4.0	5.7	6.4	4.4	4.1	5.0	5.7	5.2	5.3	4.1	5.3	6.6	4.6	5.7	5.5	6.2	6.9	4.7	3.7	5.2	4.7	5.2	6.6	3.9	5.2	4.9	5.0	3.9	4.8	5.2	5.5	4.9	5.4	5.3	6.9	6.7	4.1	6.5	4.7	5.8	5.0	5.1	5.7	4.8	5.8	6.9	5.0	6.4	6.4	6.2	6.8	5.7	4.9	5.4	8.3	6.9	4.8	4.6	6.0	7.1
2008-01-01	5.3	4.8	4.8	6.2	5.5	9.3	7.2	6.9	6.7	4.4	5.2	6.2	6.7	5.4	6.3	5.2	7.1	7.2	6.0	6.5	6.2	5.0	6.1	5.2	5.9	4.5	5.7	8.1	6.3	7.6	5.4	6.3	7.7	6.8	7.9	7.5	7.6	4.5	5.1	5.6	4.9	6.7	9.7	5.0	6.0	5.7	5.7	6.9	5.2	6.9	5.3	4.7	7.6	6.1	4.8	4.8	7.8	7.0	5.2	4.9	6.0	6.1	6.3	5.6	4.8	6.7	7.3	5.5	7.0	7.2	7.5	7.1	5.5	4.2	5.9	6.2	6.1	7.4	4.6	6.2	5.9	5.7	4.8	6.1	5.7	5.4	5.3	6.1	6.4	7.3	6.7	5.5	7.1	5.9	7.1	6.0	5.7	6.4	6.6	6.6	7.9	5.3	7.5	7.8	5.8	7.7	6.9	5.6	7.5	10.2	6.8	5.7	5.5	7.2	7.8
2009-01-01	6.6	7.7	7.3	9.3	8.2	10.7	10.7	9.9	10.3	6.3	8.5	8.1	9.7	8.1	9.7	7.3	10.4	9.8	9.6	9.1	9.8	8.2	12.0	8.4	9.8	6.8	8.9	11.0	8.9	11.6	8.9	9.5	9.5	8.9	10.7	12.0	11.6	6.3	8.4	7.7	7.7	9.5	13.4	7.1	8.4	9.7	8.8	10.2	8.2	10.6	8.5	6.0	12.5	9.7	8.3	8.3	11.8	9.5	7.7	7.8	8.4	10.3	8.1	9.4	7.3	11.7	8.7	8.2	12.9	11.8	12.6	9.3	8.1	6.4	9.2	6.8	8.1	11.8	7.1	8.7	7.3	9.1	7.7	10.0	7.1	7.3	8.8	10.6	10.0	13.1	9.4	8.5	9.8	9.4	11.0	9.0	7.8	8.0	7.9	8.9	12.2	8.8	9.5	12.1	6.8	12.0	9.2	7.8	11.3	14.2	9.1	9.7	7.5	10.2	11.7
2010-01-01	8.7	8.3	8.6	9.6	9.7	10.3	11.0	12.1	10.1	6.5	9.2	9.6	9.6	8.3	12.0	7.3	11.5	11.5	9.6	9.5	9.5	8.4	12.4	8.4	9.7	6.9	9.8	12.7	9.7	12.6	9.8	8.8	10.4	12.1	13.5	11.3	10.4	7.9	8.3	8.0	9.5	10.8	12.6	7.9	8.7	10.8	16.7	10.7	8.5	10.4	9.9	7.8	12.4	9.8	9.3	8.5	11.8	12.6	8.2	9.2	9.3	12.2	9.5	9.1	8.4	12.9	9.7	8.4	12.3	11.1	14.5	10.0	9.0	7.2	11.1	6.9	11.7	12.5	7.2	9.3	9.0	9.8	7.7	10.3	8.8	8.0	8.8	11.5	10.3	15.1	12.9	8.2	11.2	10.3	12.3	8.9	8.9	10.4	8.1	9.7	14.8	8.6	10.4	13.8	8.8	13.9	11.0	8.3	11.0	14.3	10.8	10.5	6.8	11.9	11.5
2011-01-01	8.6	6.9	8.2	8.2	9.0	8.8	10.1	10.9	9.0	5.7	8.1	9.0	8.7	7.6	11.1	6.7	10.5	11.3	8.5	8.7	9.0	7.4	10.0	7.4	8.9	6.3	9.0	10.9	9.3	11.0	8.9	8.0	9.7	10.2	12.1	9.4	8.8	6.9	7.3	7.1	8.5	9.7	11.7	7.2	8.2	9.6	14.1	9.5	7.6	8.8	9.1	7.2	11.3	9.1	8.3	7.0	10.1	11.9	7.6	8.4	8.3	10.4	8.4	7.5	6.7	11.5	9.6	7.7	9.9	9.9	12.6	9.7	8.0	6.9	9.8	6.2	11.8	11.7	6.7	8.3	8.4	8.3	6.9	9.3	8.7	6.8	7.5	10.5	9.3	13.2	12.0	6.9	10.1	9.3	10.8	7.8	8.0	9.1	6.6	8.8	13.1	7.2	10.0	12.6	8.4	13.2	9.7	7.2	9.1	12.2	10.1	8.9	5.7	9.8	10.3
2012-01-01	7.0	5.3	6.4	6.5	7.1	7.4	8.2	9.1	7.0	4.5	6.3	8.2	7.0	6.2	9.6	5.5	8.3	9.5	6.7	7.4	6.5	5.8	8.1	6.1	7.0	5.2	7.2	8.8	7.5	9.1	6.9	5.9	8.2	9.8	10.4	7.9	7.1	5.3	5.9	6.4	7.3	7.8	12.0	5.2	6.8	8.1	11.4	7.8	5.9	7.2	7.7	5.6	9.2	7.1	6.5	5.5	8.3	9.2	6.2	6.7	6.7	8.3	7.2	6.1	5.2	9.0	7.9	6.6	7.7	7.9	9.9	8.1	6.2	5.6	7.9	5.0	10.2	9.6	5.1	7.1	7.1	6.8	5.5	7.7	8.1	5.9	6.4	8.7	8.2	10.9	10.5	5.6	7.9	7.3	8.9	6.5	6.6	7.4	5.0	7.0	11.0	6.0	8.7	11.1	6.8	11.3	8.2	5.9	7.5	10.6	9.0	7.1	4.2	8.4	8.5
2013-01-01	6.8	5.3	5.8	6.3	6.8	7.1	7.6	8.4	7.1	4.5	6.2	7.8	6.6	6.0	9.2	5.7	7.3	9.5	6.3	7.0	6.2	5.4	7.9	6.0	6.6	5.2	6.9	8.5	6.8	8.6	6.2	6.0	7.5	9.3	9.9	7.1	6.3	5.2	5.5	5.8	7.3	7.1	9.9	5.3	6.4	7.8	10.6	7.6	5.8	6.8	7.2	5.4	9.5	6.4	6.6	5.5	7.5	8.7	5.6	6.4	6.5	7.6	6.6	6.0	5.4	8.7	7.8	6.3	7.3	7.2	9.4	7.8	6.0	6.5	7.9	4.9	10.3	10.3	5.4	6.5	7.0	6.5	5.6	7.1	7.9	5.9	5.8	8.1	7.7	9.4	9.2	5.3	7.7	7.2	8.5	6.2	5.9	7.8	5.3	7.1	9.5	5.5	8.8	10.4	6.4	10.6	8.1	5.9	6.8	9.7	8.2	6.7	4.0	8.3	8.3
